"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime"
"1","MFE2F7n9OVU","2025-01-18T16:15:01Z","UCBi2mrWuNuyYy4gbM6fU18Q","Worldwide protests ahead of Trump inauguration","People's March adviser Ash-lee Woodard Henderson discusses the upcoming march to protest Donald Trump's second term and ...","https://i.ytimg.com/vi/MFE2F7n9OVU/default.jpg","120","90","https://i.ytimg.com/vi/MFE2F7n9OVU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/MFE2F7n9OVU/hqdefault.jpg","480","360","ABC News","none","2025-01-18T16:15:01Z"
"2","Tx8vGn2qkag","2025-01-19T04:24:28Z","UCNye-wNBqNL5ZzHSJj3l8Bg","People’s march in DC: Thousands gather in US capital to protest Trump ahead of inauguration day","Ahead of Donald Trump's inauguration on Monday, thousands of protesters have filled the streets of the US Capitol.","https://i.ytimg.com/vi/Tx8vGn2qkag/default.jpg","120","90","https://i.ytimg.com/vi/Tx8vGn2qkag/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Tx8vGn2qkag/hqdefault.jpg","480","360","Al Jazeera English","none","2025-01-19T04:24:28Z"
"3","EU2rcCRNHjU","2025-01-30T07:16:13Z","UCFuzExfO2fUVmNK5_COvsNg","Hundreds protest outside Trump Hotel in Las Vegas, push back against the president&#39;s immigration pol","Around 200 people gathered outside the Trump Hotel Wednesday to push back against President Trump's Administration's recent ...","https://i.ytimg.com/vi/EU2rcCRNHjU/default.jpg","120","90","https://i.ytimg.com/vi/EU2rcCRNHjU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/EU2rcCRNHjU/hqdefault.jpg","480","360","8 News Now — Las Vegas","none","2025-01-30T07:16:13Z"
"4","vki_ZK5PF2A","2025-01-18T13:48:58Z","UCcT6w3xUyVshyR2_2vrMp1w","People&#39;s March set to protest President-elect Trump in DC two days before 2nd inauguration","The Women's March, Planned Parenthood and Popular Democracy in Action are among the groups organizing the protest.","https://i.ytimg.com/vi/vki_ZK5PF2A/default.jpg","120","90","https://i.ytimg.com/vi/vki_ZK5PF2A/mqdefault.jpg","320","180","https://i.ytimg.com/vi/vki_ZK5PF2A/hqdefault.jpg","480","360","WUSA9","none","2025-01-18T13:48:58Z"
"5","4DGw-DaJWFo","2025-01-27T00:16:27Z","UCxMXl9L79X1Mq_4iwCOyPFg","Protesters rally in North Texas over new immigration policies","News of the protest spread across social media over the weekend, inviting people to ""show up & speak up for those who can't.""","https://i.ytimg.com/vi/4DGw-DaJWFo/default.jpg","120","90","https://i.ytimg.com/vi/4DGw-DaJWFo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4DGw-DaJWFo/hqdefault.jpg","480","360","CBS TEXAS","none","2025-01-27T00:16:27Z"
"6","ugUQtamxJVY","2025-01-18T19:03:29Z","UChqUTb7kYRX8-EiaN3XFrSQ","Protesters attend &#39;People&#39;s March&#39; in Washington | REUTERS","Crowds gathered in Washington for the 'People's March' against President-elect Donald Trump. #unitedstates ...","https://i.ytimg.com/vi/ugUQtamxJVY/default.jpg","120","90","https://i.ytimg.com/vi/ugUQtamxJVY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ugUQtamxJVY/hqdefault.jpg","480","360","Reuters","none","2025-01-18T19:03:29Z"
"7","UTYV8Ea2mE8","2025-01-19T01:04:01Z","UChqUTb7kYRX8-EiaN3XFrSQ","What is the &#39;People&#39;s March&#39; and what are they protesting?","Reuters reporter Gabriella Borter explains why protesters have joined the 'People's March' in Washington, D.C., on Saturday.","https://i.ytimg.com/vi/UTYV8Ea2mE8/default.jpg","120","90","https://i.ytimg.com/vi/UTYV8Ea2mE8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/UTYV8Ea2mE8/hqdefault.jpg","480","360","Reuters","none","2025-01-19T01:04:01Z"
"8","m_nab88hjLQ","2025-01-26T00:36:48Z","UC_vFLohxs5PkAxlk7Y6jEtw","Immigration activists, pro-Palestinian groups protest Trump administration downtown Chicago","Streaming now at https://abc7.ws/484PqhJ Immigration activists and pro-Palestinian groups held the 'People's March for Justice' ...","https://i.ytimg.com/vi/m_nab88hjLQ/default.jpg","120","90","https://i.ytimg.com/vi/m_nab88hjLQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/m_nab88hjLQ/hqdefault.jpg","480","360","ABC 7 Chicago","none","2025-01-26T00:36:48Z"
"9","skFNTC74bn0","2025-01-22T13:45:13Z","UCeY0bbntWzzVIaj2z3QigXg","Workers in Panama burn U.S. flags in protest against Trump&#39;s threat to seize the Panama Canal","Workers in #Panama City protest President #Trump's push to take control of the #PanamaCanal. » Subscribe to NBC News: ...","https://i.ytimg.com/vi/skFNTC74bn0/default.jpg","120","90","https://i.ytimg.com/vi/skFNTC74bn0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/skFNTC74bn0/hqdefault.jpg","480","360","NBC News","none","2025-01-22T13:45:13Z"
"10","EYWV7r9DfWM","2025-01-27T05:29:36Z","UCBu0KdNokE4MqdkacvH37_A","700 people flood downtown Dallas to protest President Trump&#39;s immigration policies","Hundreds of people protested near the Margaret Hunt Hill Bridge on Sunday.","https://i.ytimg.com/vi/EYWV7r9DfWM/default.jpg","120","90","https://i.ytimg.com/vi/EYWV7r9DfWM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/EYWV7r9DfWM/hqdefault.jpg","480","360","WFAA","none","2025-01-27T05:29:36Z"
